read0	RXN-7700
read1	RXN-5424
read2	RXN-13198
read3	RXN-10911
read4	RXN66-478
read5	ALCOHOL-DEHYDROG-GENERIC-RXN
read6	RXN-10781
read7	RXN-7693
read8	RXN-10915
read9	RXN-12448
read10	RXN-7657
read11	ALCOHOL-DEHYDROG-RXN
read12	RXN3O-4113
read13	RXN-7694
read14	RXN-7706
read15	RXN-9556
read16	RXN-16622
read17	RXN1G-469
read18	RXN1G-349
read19	RXN-9633
read20	RXN-11476
read21	RXN-9518
read22	RXN-16626
read23	RXN-9514
read24	RXN-10655
read25	RXN-13008
read26	RXN-9532
read27	RXN-9528
read28	RXN-16616
read29	RXN1G-157
read30	RXN-11480
read31	RXN-9524
read32	RXN-16630
read33	RXN1G-508
read34	RXN-9536
read35	RXN-10659
read36	3-OXOACYL-ACP-REDUCT-RXN
read37	RXN0-2142
read38	RXN-9552
read39	RXN-10060
read40	RXN-9540
read41	RIBOFLAVINSYNREDUC-RXN
read42	IMP-DEHYDROG-RXN
read43	UGD-RXN
read44	RXN-8001
read45	SHIKIMATE-5-DEHYDROGENASE-RXN
read46	RXN-13179
read47	DXPREDISOM-RXN
read48	DLACTDEHYDROGNAD-RXN
read49	RXN-2962
read50	RXN-17884
read51	ERYTHRON4PDEHYDROG-RXN
read52	HOMOSERDEHYDROG-RXN
read53	3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
read54	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
read55	RXN0-7020
read56	RXN-16133
read57	RXN-10698
read58	RXN-17781
read59	RXN-11245
read60	RXN-17794
read61	RXN-12705
read62	RXN-12570
read63	OHACYL-COA-DEHYDROG-RXN
read64	RXN-19803
read65	RXN0-2044
read66	RXN-10702
read67	RXN-12750
read68	RXN-17798
read69	RXN-10703
read70	RXN-17786
read71	RXN-12490
read72	RXN-17777
read73	RXN-11662
read74	RXN-17790
read75	MALATE-DEH-RXN
read76	1.1.1.39-RXN
read77	MALIC-NADP-RXN
read78	ISOCITDEH-RXN
read79	RXN-13158
read80	RXNQT-4178
read81	RXNQT-4174
