read0	RXN-9556
read1	RXN-16622
read2	RXN1G-469
read3	RXN1G-349
read4	RXN-9633
read5	RXN-11476
read6	RXN-9518
read7	RXN-16626
read8	RXN-9514
read9	RXN-10655
read10	RXN-13008
read11	RXN-9532
read12	RXN-9528
read13	RXN-16616
read14	RXN1G-157
read15	RXN-11480
read16	RXN-9524
read17	RXN-16630
read18	RXN1G-508
read19	RXN-9536
read20	RXN-10659
read21	3-OXOACYL-ACP-REDUCT-RXN
read22	RXN0-2142
read23	RXN-9552
read24	RXN-10060
read25	RXN-9540
read26	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read27	RIBOFLAVINSYNREDUC-RXN
read28	IMP-DEHYDROG-RXN
read29	UGD-RXN
read30	RXN-8001
read31	SHIKIMATE-5-DEHYDROGENASE-RXN
read32	RXN-13179
read33	DLACTDEHYDROGNAD-RXN
read34	HOMOSERDEHYDROG-RXN
read35	RXN-16133
read36	RXN-10698
read37	RXN-17781
read38	RXN-11245
read39	RXN-17794
read40	RXN-12705
read41	RXN-12570
read42	OHACYL-COA-DEHYDROG-RXN
read43	RXN-19803
read44	RXN0-2044
read45	RXN-10702
read46	RXN-12750
read47	RXN-17798
read48	RXN-10703
read49	RXN-17786
read50	RXN-12490
read51	RXN-17777
read52	RXN-11662
read53	RXN-17790
read54	MALATE-DEH-RXN
read55	MALIC-NADP-RXN
read56	ISOCITDEH-RXN
read57	RXN-13158
read58	RXNQT-4178
read59	RXNQT-4174
read60	RXNQT-4171
read61	RXNQT-4168
read62	RXNQT-4165
read63	RXN-14986
read64	ACETOOHBUTREDUCTOISOM-RXN
read65	ACETOLACTREDUCTOISOM-RXN
read66	GLYC3PDEHYDROGBIOSYN-RXN
read67	PGLYCDEHYDROG-RXN
read68	L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
read69	RXN0-6373
read70	GLYC3PDEHYDROG-RXN
read71	RXN-15740
read72	RXN-15745
read73	RXN0-5258-Yeast
read74	RXN0-5260
read75	RXNI-3
read76	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
read77	1.11.1.15-RXN
read78	RXN-8667
read79	CATAL-RXN
read80	RXN66-1
read81	RXN-14189
read82	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
read83	RXN-10815
read84	RXN-16322
read85	2-NITROPROPANE-DIOXYGENASE-RXN
read86	RXN-13426
read87	RXN-16065
read88	1.14.19.3-RXN
read89	RXN-16132
read90	RXN-17112
read91	SUPEROX-DISMUT-RXN
read92	RXN-14014
read93	ADPREDUCT-RXN
read94	RXN0-747
read95	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read96	RXN0-748
read97	UDPREDUCT-RXN
read98	CDPREDUCT-RXN
read99	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
read100	GDPREDUCT-RXN
read101	RXN0-722
read102	RXN-12104
read103	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read104	GAPOXNPHOSPHN-RXN
read105	RXN0-5293
read106	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read107	RXN-17808
read108	RXN66-3
read109	RXN-16655
read110	RXN-14224
read111	RXN-37
read112	RXN6666-5
read113	RXN-9758
read114	RXN-10780
read115	RXN-10917
read116	R222-RXN
read117	RXN-16656
read118	RXN-14225
read119	RXN-3443
read120	RXN-16653
read121	RXN-10715
read122	RXN-10089
read123	RXN-10912
read124	RXN-4142
read125	RXN66-479
read126	RXN66-476
read127	RXN-14280
read128	RXN-16654
read129	RXN66-472
read130	ALDHDEHYDROG-RXN
read131	N-ACETYLGLUTPREDUCT-RXN
read132	RXN-15006
read133	RXN-6002
read134	ALDXANAU-RXN
read135	ALDEHYDE-DEHYDROGENASE-NADP+-RXN
read136	RXN0-3962
read137	GLUTSEMIALDEHYDROG-RXN
read138	GLUTRNAREDUCT-RXN
read139	SUCCSEMIALDDEHYDROG-RXN
read140	RXN-14116
read141	1.2.1.9-RXN
read142	RXN0-1134
read143	2OXOGLUTDECARB-RXN
read144	RXN-982
read145	RXN-9534
read146	RXN-9542
read147	RXN-9538
read148	RXN-9515
read149	RXN3O-5293
read150	RXN-9530
read151	RXN-9526
read152	RXN-9521
read153	RXN-7911
read154	RXN-7835
read155	RXN-14776
read156	DIENOYLCOAREDUCT-RXN
read157	RXN-14790
read158	RXN-12521
read159	RXN-14715
read160	DIMETHUROPORDEHYDROG-RXN
read161	RXN1G-488
read162	RXN-10657
read163	RXN-11482
read164	RXN-16632
read165	RXN-9663
read166	RXN-9660
read167	RXN-10661
read168	RXN0-2145
read169	RXN-9657
read170	RXN-16620
read171	RXN1G-395
read172	RXN-10062
read173	RXN1G-526
read174	RXN-9661
read175	RXN-9658
read176	RXN-16624
read177	RXN-9558
