read0	RXN-9556
read1	RXN-16622
read2	RXN1G-469
read3	RXN1G-349
read4	RXN-9633
read5	RXN-11476
read6	RXN-9518
read7	RXN-16626
read8	RXN-9514
read9	RXN-10655
read10	RXN-13008
read11	RXN-9532
read12	RXN-9528
read13	RXN-16616
read14	RXN1G-157
read15	RXN-11480
read16	RXN-9524
read17	RXN-16630
read18	RXN1G-508
read19	RXN-9536
read20	RXN-10659
read21	3-OXOACYL-ACP-REDUCT-RXN
read22	RXN0-2142
read23	RXN-9552
read24	RXN-10060
read25	RXN-9540
read26	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read27	RIBOFLAVINSYNREDUC-RXN
read28	IMP-DEHYDROG-RXN
read29	UGD-RXN
read30	RXN-8001
read31	SHIKIMATE-5-DEHYDROGENASE-RXN
read32	RXN-13179
read33	HOMOSERDEHYDROG-RXN
read34	RXN-16133
read35	RXN-10698
read36	RXN-17781
read37	RXN-11245
read38	RXN-17794
read39	RXN-12705
read40	RXN-12570
read41	OHACYL-COA-DEHYDROG-RXN
read42	RXN-19803
read43	RXN0-2044
read44	RXN-10702
read45	RXN-12750
read46	RXN-17798
read47	RXN-10703
read48	RXN-17786
read49	RXN-12490
read50	RXN-17777
read51	RXN-11662
read52	RXN-17790
read53	MALATE-DEH-RXN
read54	MALIC-NADP-RXN
read55	ISOCITDEH-RXN
read56	ACETOOHBUTREDUCTOISOM-RXN
read57	ACETOLACTREDUCTOISOM-RXN
read58	GLYC3PDEHYDROGBIOSYN-RXN
read59	PGLYCDEHYDROG-RXN
read60	1.11.1.15-RXN
read61	RXN-8667
read62	GLUTATHIONE-PEROXIDASE-RXN
read63	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
read64	RXN-10815
read65	RXN-9731
read66	PROTOCATECHUATE-34-DIOXYGENASE-RXN
read67	RXN-16322
read68	2-NITROPROPANE-DIOXYGENASE-RXN
read69	RXN0-2042
read70	ALKANE-1-MONOOXYGENASE-RXN
read71	RXN-10664
read72	1.14.19.1-RXN
read73	RXN-13426
read74	RXN-16065
read75	1.14.19.3-RXN
read76	RXN-16132
read77	RXN-17112
read78	SUPEROX-DISMUT-RXN
read79	RXN-14014
read80	ADPREDUCT-RXN
read81	RXN0-747
read82	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read83	RXN0-748
read84	UDPREDUCT-RXN
read85	CDPREDUCT-RXN
read86	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
read87	GDPREDUCT-RXN
read88	RXN0-722
read89	RXN-12104
read90	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read91	GAPOXNPHOSPHN-RXN
read92	RXN0-5293
read93	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read94	RXN-17808
read95	RXN66-3
read96	RXN-16655
read97	RXN-14224
read98	RXN-37
read99	RXN6666-5
read100	RXN-9758
read101	RXN-10780
read102	RXN-10917
read103	R222-RXN
read104	RXN-16656
read105	RXN-14225
read106	RXN-3443
read107	RXN-16653
read108	RXN-10715
read109	RXN-10089
read110	RXN-10912
read111	RXN-4142
read112	RXN66-479
read113	RXN66-476
read114	RXN-14280
read115	RXN-16654
read116	RXN66-472
read117	ALDHDEHYDROG-RXN
read118	GLUTSEMIALDEHYDROG-RXN
read119	GLUTRNAREDUCT-RXN
read120	SUCCSEMIALDDEHYDROG-RXN
read121	RXN-14116
read122	RXNMETA-12672
read123	RXN0-1134
read124	2OXOGLUTDECARB-RXN
read125	RXN-982
read126	RXN-9534
read127	RXN-9542
read128	RXN-9538
read129	RXN-9515
read130	RXN3O-5293
read131	RXN-9530
read132	RXN-9526
read133	RXN-9521
read134	RXN1G-488
read135	RXN-10657
read136	RXN-11482
read137	RXN-16632
read138	RXN-9663
read139	RXN-9660
read140	RXN-10661
read141	RXN0-2145
read142	RXN-9657
read143	RXN-16620
read144	RXN1G-395
read145	RXN-10062
read146	RXN1G-526
read147	RXN-9661
read148	RXN-9658
read149	RXN-16624
read150	RXN-9558
read151	ENOYL-ACP-REDUCT-NADH-RXN
read152	RXN-9635
read153	RXN-11478
read154	RXN-9662
read155	RXN-16628
read156	RXN-9659
read157	UDPNACETYLMURAMATEDEHYDROG-RXN
read158	RXN0-1461
read159	RXN-15378
read160	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
read161	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN
read162	RXN-14971
read163	RXN0-6491
read164	RXN0-6554
read165	DIHYDROOROTATE-DEHYDROGENASE-RXN
read166	RXN-14963
read167	R601-RXN
read168	RXN-14970
read169	GLUTARYL-COA-DEHYDROGENASE-RXN
read170	GLUTAMATESYN-RXN
read171	GLUTAMATE-SYNTHASE-NADH-RXN
read172	GLUTDEHYD-RXN
