read0	RXN-9556
read1	RXN-16622
read2	RXN1G-469
read3	RXN1G-349
read4	RXN-9633
read5	RXN-11476
read6	RXN-9518
read7	RXN-16626
read8	RXN-9514
read9	RXN-10655
read10	RXN-13008
read11	RXN-9532
read12	RXN-9528
read13	RXN-16616
read14	RXN1G-157
read15	RXN-11480
read16	RXN-9524
read17	RXN-16630
read18	RXN1G-508
read19	RXN-9536
read20	RXN-10659
read21	3-OXOACYL-ACP-REDUCT-RXN
read22	RXN0-2142
read23	RXN-9552
read24	RXN-10060
read25	RXN-9540
read26	DTDPDEHYRHAMREDUCT-RXN
read27	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read28	RIBOFLAVINSYNREDUC-RXN
read29	IMP-DEHYDROG-RXN
read30	UGD-RXN
read31	RXN-8001
read32	SHIKIMATE-5-DEHYDROGENASE-RXN
read33	RXN-13179
read34	GLYCERATE-DEHYDROGENASE-RXN
read35	HOMOSERDEHYDROG-RXN
read36	RXN-16133
read37	RXN-10698
read38	RXN-17781
read39	RXN-11245
read40	RXN-17794
read41	RXN-12705
read42	RXN-12570
read43	OHACYL-COA-DEHYDROG-RXN
read44	RXN-19803
read45	RXN0-2044
read46	RXN-10702
read47	RXN-12750
read48	RXN-17798
read49	RXN-10703
read50	RXN-17786
read51	RXN-12490
read52	RXN-17777
read53	RXN-11662
read54	RXN-17790
read55	MALATE-DEH-RXN
read56	MALIC-NADP-RXN
read57	ISOCITDEH-RXN
read58	ALTRO-OXIDOREDUCT-RXN
read59	GLUCONATE-5-DEHYDROGENASE-RXN
read60	RXN-13158
read61	RXNQT-4178
read62	RXNQT-4174
read63	RXNQT-4171
read64	RXNQT-4168
read65	RXNQT-4165
read66	RXN-14986
read67	ACETOOHBUTREDUCTOISOM-RXN
read68	ACETOLACTREDUCTOISOM-RXN
read69	GLYC3PDEHYDROGBIOSYN-RXN
read70	PGLYCDEHYDROG-RXN
read71	GLYC3PDEHYDROG-RXN
read72	RXN-15740
read73	RXN-15745
read74	RXN0-5258-Yeast
read75	RXN0-5260
read76	1.11.1.15-RXN
read77	CYTOCHROME-C-PEROXIDASE-RXN
read78	CATAL-RXN
read79	GLUTATHIONE-PEROXIDASE-RXN
read80	RXN-8665
read81	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
read82	RXN-10815
read83	HOMOGENTISATE-12-DIOXYGENASE-RXN
read84	1.13.11.6-RXN
read85	RXN-16322
read86	2-NITROPROPANE-DIOXYGENASE-RXN
read87	MYO-INOSITOL-OXYGENASE-RXN
read88	KYNURENINE-3-MONOOXYGENASE-RXN
read89	RXN-10664
read90	1.14.19.1-RXN
read91	RXN-8389
read92	RXN-7903
read93	RXN-13426
read94	RXN-16065
read95	1.14.19.3-RXN
read96	RXN-16132
read97	RXN-17112
read98	SUPEROX-DISMUT-RXN
read99	RXN-15294
read100	RXN-14014
read101	ADPREDUCT-RXN
read102	RXN0-747
read103	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read104	RXN0-748
read105	UDPREDUCT-RXN
read106	CDPREDUCT-RXN
read107	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
read108	GDPREDUCT-RXN
read109	RXN0-722
read110	RXN-12104
read111	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read112	GAPOXNPHOSPHN-RXN
read113	RXN0-5293
read114	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read115	RXN-17808
read116	RXN66-3
read117	RXN-16655
read118	RXN-14224
read119	RXN-37
read120	RXN6666-5
read121	RXN-9758
read122	RXN-10780
read123	RXN-10917
read124	R222-RXN
read125	RXN-16656
read126	RXN-14225
read127	RXN-3443
read128	RXN-16653
read129	RXN-10715
read130	RXN-10089
read131	RXN-10912
read132	RXN-4142
read133	RXN66-479
read134	RXN66-476
read135	RXN-14280
read136	RXN-16654
read137	RXN66-472
read138	ALDHDEHYDROG-RXN
read139	N-ACETYLGLUTPREDUCT-RXN
read140	RXN-15006
read141	RXN-6002
read142	ALDXANAU-RXN
read143	ALDEHYDE-DEHYDROGENASE-NADP+-RXN
read144	RXN0-3962
read145	GLUTSEMIALDEHYDROG-RXN
read146	GLUTRNAREDUCT-RXN
read147	SUCCSEMIALDDEHYDROG-RXN
read148	RXN-14116
read149	RXN0-1134
read150	2OXOGLUTDECARB-RXN
read151	KETOISOCAPROATE-RXN
read152	METHYLVALERATE-RXN
read153	1.2.4.4-RXN
read154	RXN-9534
read155	ENOYL-ACP-REDUCT-NADPH-RXN
read156	RXN-9542
read157	RXN-9538
read158	RXN-9515
read159	RXN3O-5293
read160	RXN-9530
read161	RXN-9526
read162	RXN-9521
read163	PREPHENATEDEHYDROG-RXN
read164	RXN1G-488
read165	RXN-10657
read166	RXN-11482
