read0	RXN-7700
read1	RXN-5424
read2	RXN-13198
read3	RXN-10911
read4	RXN66-478
read5	ALCOHOL-DEHYDROG-GENERIC-RXN
read6	RXN-10781
read7	RXN-7693
read8	RXN-10915
read9	RXN-12448
read10	RXN-7657
read11	ALCOHOL-DEHYDROG-RXN
read12	RXN3O-4113
read13	RXN-7694
read14	RXN-7706
read15	RXN-9556
read16	RXN-16622
read17	RXN1G-469
read18	RXN1G-349
read19	RXN-9633
read20	RXN-11476
read21	RXN-9518
read22	RXN-16626
read23	RXN-9514
read24	RXN-10655
read25	RXN-13008
read26	RXN-9532
read27	RXN-9528
read28	RXN-16616
read29	RXN1G-157
read30	RXN-11480
read31	RXN-9524
read32	RXN-16630
read33	RXN1G-508
read34	RXN-9536
read35	RXN-10659
read36	3-OXOACYL-ACP-REDUCT-RXN
read37	RXN0-2142
read38	RXN-9552
read39	RXN-10060
read40	RXN-9540
read41	DTDPDEHYRHAMREDUCT-RXN
read42	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read43	RIBOFLAVINSYNREDUC-RXN
read44	IMP-DEHYDROG-RXN
read45	UGD-RXN
read46	RXN-8001
read47	RXN-13179
read48	DLACTDEHYDROGNAD-RXN
read49	HOMOSERDEHYDROG-RXN
read50	RXN-3341
read51	RXN-16133
read52	RXN-10698
read53	RXN-17781
read54	RXN-11245
read55	RXN-17794
read56	RXN-12705
read57	RXN-12570
read58	OHACYL-COA-DEHYDROG-RXN
read59	RXN-19803
read60	RXN0-2044
read61	RXN-10702
read62	RXN-12750
read63	RXN-17798
read64	RXN-10703
read65	RXN-17786
read66	RXN-12490
read67	RXN-17777
read68	RXN-11662
read69	RXN-17790
read70	RXN-14819
read71	MALATE-DEH-RXN
read72	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
read73	ISOCITDEH-RXN
read74	RXN-9952
read75	GLU6PDEHYDROG-RXN
read76	GLYC3PDEHYDROGBIOSYN-RXN
read77	PGLYCDEHYDROG-RXN
read78	GLYC3PDEHYDROG-RXN
read79	RXN-15740
read80	RXN-15745
