read0	RXN-9556
read1	RXN-16622
read2	RXN1G-469
read3	RXN1G-349
read4	RXN-9633
read5	RXN-11476
read6	RXN-9518
read7	RXN-16626
read8	RXN-9514
read9	RXN-10655
read10	RXN-13008
read11	RXN-9532
read12	RXN-9528
read13	RXN-16616
read14	RXN1G-157
read15	RXN-11480
read16	RXN-9524
read17	RXN-16630
read18	RXN1G-508
read19	RXN-9536
read20	RXN-10659
read21	3-OXOACYL-ACP-REDUCT-RXN
read22	RXN0-2142
read23	RXN-9552
read24	RXN-10060
read25	RXN-9540
read26	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read27	RIBOFLAVINSYNREDUC-RXN
read28	IMP-DEHYDROG-RXN
read29	UGD-RXN
read30	RXN-8001
read31	SHIKIMATE-5-DEHYDROGENASE-RXN
read32	DXPREDISOM-RXN
read33	HOMOSERDEHYDROG-RXN
read34	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
read35	RXN-3341
read36	RXN-16133
read37	RXN-10698
read38	RXN-17781
read39	RXN-11245
read40	RXN-17794
read41	RXN-12705
read42	RXN-12570
read43	OHACYL-COA-DEHYDROG-RXN
read44	RXN-19803
read45	RXN0-2044
read46	RXN-10702
read47	RXN-12750
read48	RXN-17798
read49	RXN-10703
read50	RXN-17786
read51	RXN-12490
read52	RXN-17777
read53	RXN-11662
read54	RXN-17790
read55	RXN-14819
read56	MALATE-DEH-RXN
read57	ISOCITDEH-RXN
read58	RXN-9952
read59	GLU6PDEHYDROG-RXN
read60	RXN-13158
read61	RXNQT-4178
read62	RXNQT-4174
read63	RXNQT-4171
read64	RXNQT-4168
read65	RXNQT-4165
read66	RXN-14986
read67	ACETOOHBUTREDUCTOISOM-RXN
read68	ACETOLACTREDUCTOISOM-RXN
read69	GLYC3PDEHYDROGBIOSYN-RXN
read70	PGLYCDEHYDROG-RXN
read71	GLYC3PDEHYDROG-RXN
read72	RXN-15740
read73	RXN-15745
read74	RXN0-5258-Yeast
read75	RXN0-5260
read76	1.11.1.15-RXN
read77	RXN66-1
read78	RXN-14189
read79	RXN-16322
read80	2-NITROPROPANE-DIOXYGENASE-RXN
read81	RXN-8389
read82	RXN-7903
read83	SUPEROX-DISMUT-RXN
read84	RXN-14014
read85	ADPREDUCT-RXN
read86	RXN0-747
read87	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read88	RXN0-748
read89	UDPREDUCT-RXN
read90	CDPREDUCT-RXN
read91	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
read92	GDPREDUCT-RXN
read93	RXN0-722
read94	RXN0-882
read95	RXN-15878
read96	RXN-12104
read97	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read98	GAPOXNPHOSPHN-RXN
read99	RXN-17808
read100	RXN66-3
read101	RXN-16655
read102	RXN-14224
read103	RXN-37
read104	RXN6666-5
read105	RXN-9758
read106	RXN-10780
read107	RXN-10917
read108	R222-RXN
read109	RXN-16656
read110	RXN-14225
read111	RXN-3443
read112	RXN-16653
read113	RXN-10715
read114	RXN-10089
read115	RXN-10912
read116	RXN-4142
read117	RXN66-479
read118	RXN66-476
read119	RXN-14280
read120	RXN-16654
read121	RXN66-472
read122	ALDHDEHYDROG-RXN
read123	N-ACETYLGLUTPREDUCT-RXN
read124	RXN-15006
read125	GLUTSEMIALDEHYDROG-RXN
read126	GLUTRNAREDUCT-RXN
read127	RXN-14116
read128	RXN0-1134
read129	KETOISOCAPROATE-RXN
read130	METHYLVALERATE-RXN
read131	1.2.4.4-RXN
read132	RXN-11496
read133	RXN-11496-YEAST
read134	RXN-9534
read135	ENOYL-ACP-REDUCT-NADPH-RXN
read136	RXN-9542
read137	RXN-9538
read138	RXN-9515
read139	RXN3O-5293
read140	RXN-9530
read141	RXN-9526
read142	RXN-9521
read143	PREPHENATEDEHYDROG-RXN
read144	RXN1G-488
read145	RXN-10657
read146	RXN-11482
read147	RXN-16632
read148	RXN-9663
read149	RXN-9660
read150	RXN-10661
read151	RXN0-2145
read152	RXN-9657
read153	RXN-16620
read154	RXN1G-395
read155	RXN-10062
read156	RXN1G-526
read157	RXN-9661
read158	RXN-9658
read159	RXN-16624
read160	RXN-9558
read161	ENOYL-ACP-REDUCT-NADH-RXN
read162	RXN-9635
read163	RXN-11478
read164	RXN-9662
read165	RXN-16628
read166	RXN-9659
read167	UDPNACETYLMURAMATEDEHYDROG-RXN
read168	RXN-15378
read169	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
read170	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN
read171	RXN-14971
read172	RXN-14963
read173	R601-RXN
read174	RXN-14970
read175	ALANINE-DEHYDROGENASE-RXN
read176	GCVP-RXN
read177	RXN66-546
read178	PYRROLINECARBREDUCT-RXN
