read0	RXN-7700
read1	RXN-5424
read2	RXN-13198
read3	RXN-10911
read4	RXN66-478
read5	ALCOHOL-DEHYDROG-GENERIC-RXN
read6	RXN-10781
read7	RXN-7693
read8	RXN-10915
read9	RXN-12448
read10	RXN-7657
read11	ALCOHOL-DEHYDROG-RXN
read12	RXN3O-4113
read13	RXN-7694
read14	RXN-7706
read15	RXN-9556
read16	RXN-16622
read17	RXN1G-469
read18	RXN1G-349
read19	RXN-9633
read20	RXN-11476
read21	RXN-9518
read22	RXN-16626
read23	RXN-9514
read24	RXN-10655
read25	RXN-13008
read26	RXN-9532
read27	RXN-9528
read28	RXN-16616
read29	RXN1G-157
read30	RXN-11480
read31	RXN-9524
read32	RXN-16630
read33	RXN1G-508
read34	RXN-9536
read35	RXN-10659
read36	3-OXOACYL-ACP-REDUCT-RXN
read37	RXN0-2142
read38	RXN-9552
read39	RXN-10060
read40	RXN-9540
read41	DTDPDEHYRHAMREDUCT-RXN
read42	RIBOFLAVINSYNREDUC-RXN
read43	IMP-DEHYDROG-RXN
read44	UGD-RXN
read45	RXN-8001
read46	SHIKIMATE-5-DEHYDROGENASE-RXN
read47	DXPREDISOM-RXN
read48	DLACTDEHYDROGNAD-RXN
read49	HOMOSERDEHYDROG-RXN
read50	ISOCITDEH-RXN
read51	GLU6PDEHYDROG-RXN
read52	RXN-13158
read53	RXNQT-4178
read54	RXNQT-4174
read55	RXNQT-4171
read56	RXNQT-4168
read57	RXNQT-4165
read58	RXN-14986
read59	ACETOOHBUTREDUCTOISOM-RXN
read60	ACETOLACTREDUCTOISOM-RXN
read61	GLYC3PDEHYDROGBIOSYN-RXN
read62	PGLYCDEHYDROG-RXN
read63	GLYC3PDEHYDROG-RXN
read64	RXN-15740
read65	RXN-15745
read66	RXN0-5258-Yeast
read67	RXN0-5260
read68	1.11.1.15-RXN
read69	GLUTATHIONE-PEROXIDASE-RXN
read70	SUPEROX-DISMUT-RXN
read71	RXN-14014
read72	ADPREDUCT-RXN
read73	RXN0-747
read74	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
