read0	RXN-7700
read1	RXN-5424
read2	RXN-13198
read3	RXN-10911
read4	RXN66-478
read5	ALCOHOL-DEHYDROG-GENERIC-RXN
read6	RXN-10781
read7	RXN-7693
read8	RXN-10915
read9	RXN-12448
read10	RXN-7657
read11	ALCOHOL-DEHYDROG-RXN
read12	RXN3O-4113
read13	RXN-7694
read14	RXN-7706
read15	RXN-9556
read16	RXN-16622
read17	RXN1G-469
read18	RXN1G-349
read19	RXN-9633
read20	RXN-11476
read21	RXN-9518
read22	RXN-16626
read23	RXN-9514
read24	RXN-10655
read25	RXN-13008
read26	RXN-9532
read27	RXN-9528
read28	RXN-16616
read29	RXN1G-157
read30	RXN-11480
read31	RXN-9524
read32	RXN-16630
read33	RXN1G-508
read34	RXN-9536
read35	RXN-10659
read36	3-OXOACYL-ACP-REDUCT-RXN
read37	RXN0-2142
read38	RXN-9552
read39	RXN-10060
read40	RXN-9540
read41	DTDPDEHYRHAMREDUCT-RXN
read42	L-IDITOL-2-DEHYDROGENASE-RXN
read43	RXN-7644
read44	3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN
read45	RIBOFLAVINSYNREDUC-RXN
read46	IMP-DEHYDROG-RXN
read47	TROPINE-DEHYDROGENASE-RXN
read48	UGD-RXN
read49	RXN-8001
read50	SHIKIMATE-5-DEHYDROGENASE-RXN
read51	RXN-13179
read52	DXPREDISOM-RXN
read53	DLACTDEHYDROGNAD-RXN
read54	GLYCERATE-DEHYDROGENASE-RXN
read55	HOMOSERDEHYDROG-RXN
read56	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
read57	RXN-1884
read58	RXN-14054
read59	RXN-12898
read60	RXN-3341
read61	RXN-16133
read62	RXN-10698
read63	RXN-17781
read64	RXN-11245
read65	RXN-17794
read66	RXN-12705
read67	RXN-12570
read68	OHACYL-COA-DEHYDROG-RXN
read69	RXN-19803
read70	RXN0-2044
read71	RXN-10702
read72	RXN-12750
read73	RXN-17798
read74	RXN-10703
read75	RXN-17786
read76	RXN-12490
read77	RXN-17777
read78	RXN-11662
