read0	RXN-7700
read1	RXN-5424
read2	RXN-13198
read3	RXN-10911
read4	RXN66-478
read5	ALCOHOL-DEHYDROG-GENERIC-RXN
read6	RXN-10781
read7	RXN-7693
read8	RXN-10915
read9	RXN-12448
read10	RXN-7657
read11	ALCOHOL-DEHYDROG-RXN
read12	RXN3O-4113
read13	RXN-7694
read14	RXN-7706
read15	RXN-9556
read16	RXN-16622
read17	RXN1G-469
read18	RXN1G-349
read19	RXN-9633
read20	RXN-11476
read21	RXN-9518
read22	RXN-16626
read23	RXN-9514
read24	RXN-10655
read25	RXN-13008
read26	RXN-9532
read27	RXN-9528
read28	RXN-16616
read29	RXN1G-157
read30	RXN-11480
read31	RXN-9524
read32	RXN-16630
read33	RXN1G-508
read34	RXN-9536
read35	RXN-10659
read36	3-OXOACYL-ACP-REDUCT-RXN
read37	RXN0-2142
read38	RXN-9552
read39	RXN-10060
read40	RXN-9540
read41	RIBOFLAVINSYNREDUC-RXN
read42	IMP-DEHYDROG-RXN
read43	RXN-8001
read44	SHIKIMATE-5-DEHYDROGENASE-RXN
read45	HOMOSERDEHYDROG-RXN
read46	RXN-11036
read47	RXN-11032
read48	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
read49	1.1.1.39-RXN
read50	RR-BUTANEDIOL-DEHYDROGENASE-RXN
read51	ISOCITDEH-RXN
read52	SS-BUTANEDIOL-DEHYDROGENASE-RXN
read53	RXN-13158
read54	RXNQT-4178
read55	RXNQT-4174
read56	RXNQT-4171
read57	RXNQT-4168
read58	RXNQT-4165
read59	RXN-14986
read60	ACETOOHBUTREDUCTOISOM-RXN
read61	ACETOLACTREDUCTOISOM-RXN
read62	GLYC3PDEHYDROGBIOSYN-RXN
read63	PGLYCDEHYDROG-RXN
read64	1.11.1.15-RXN
read65	GLUTATHIONE-PEROXIDASE-RXN
read66	SUPEROX-DISMUT-RXN
read67	RXN-14014
read68	ADPREDUCT-RXN
read69	RXN0-747
read70	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read71	RXN0-748
read72	UDPREDUCT-RXN
